,ReviewText,aspects,terms
0,This computer is absolutely AMAZING!!!,['LAPTOP#GENERAL'],
1,10 plus hours of battery...,['BATTERY#OPERATION_PERFORMANCE'],
2,super fast processor and really nice graphics card..,"['CPU#OPERATION_PERFORMANCE', 'GRAPHICS#GENERAL']",
3,and plenty of storage with 250 gb(though I will upgrade this and the ram..),['HARD_DISC#DESIGN_FEATURES'],
4,This computer is really fast and I'm shocked as to how easy it is to get used to...,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']",
5,I've only had mine a day but I'm already used to it...,['LAPTOP#USABILITY'],
6,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"['LAPTOP#PORTABILITY', 'CPU#OPERATION_PERFORMANCE']",
7,the laptop was really good and it goes really fast just the way i thought it would of run.,"['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",
8,i would really recommend to any person out there to get this laptop cause its really worth it.,['LAPTOP#GENERAL'],
9,and its really cheap and you wont regret buying it.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
10,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","['LAPTOP#PORTABILITY', 'LAPTOP#QUALITY', 'LAPTOP#USABILITY']",
11,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY', 'LAPTOP#MISCELLANEOUS']",
12,I highly recommend this computer for students looking for a solid machine to get them through college.,"['LAPTOP#MISCELLANEOUS', 'LAPTOP#QUALITY']",
13,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",['OS#DESIGN_FEATURES'],
14,Oh my goodness-I am not a happy camper.,['LAPTOP#GENERAL'],
15,My HP is very heavy.,['LAPTOP#DESIGN_FEATURES'],
16,Not easy to carry.,['LAPTOP#PORTABILITY'],
17,The battery has never worked well.,"['BATTERY#QUALITY', 'BATTERY#OPERATION_PERFORMANCE']",
18,The battery gets so HOT it is scary.,['BATTERY#QUALITY'],
19,"Yet, HP won't do anything about the problem.",['SUPPORT#QUALITY'],
20,I returned the computer to HP and they kept it for 3 months.,['SUPPORT#QUALITY'],
21,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,['SUPPORT#QUALITY'],
22,"So, you can imagine how unhappy I am with this item.",['LAPTOP#GENERAL'],
23,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,['LAPTOP#QUALITY'],
24,"Well, they don't care a bunch.",['SUPPORT#QUALITY'],
25,"But, at the same time they (the company) would not and could not do anything about my problem.",['SUPPORT#QUALITY'],
26,I would  say if you want to buy one of these machines be careful.,['LAPTOP#GENERAL'],
27,"And, if you are going to deal with HP be careful.",['COMPANY#GENERAL'],
28,"In my house, HP is a nasty word.",['COMPANY#GENERAL'],
29,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",['LAPTOP#GENERAL'],
30,The netbook is easier for me to take to bed and carry around with me.,['LAPTOP#PORTABILITY'],
31,"The screen takes some getting use to, because it is smaller than the laptop.","['DISPLAY#USABILITY', 'DISPLAY#DESIGN_FEATURES']",
32,I have not have any problems.,['LAPTOP#GENERAL'],
33,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",['LAPTOP#GENERAL'],
34,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,['LAPTOP#QUALITY'],
35,Its still going.,['LAPTOP#QUALITY'],
36,It is in the best condition and has a really high quality.,['LAPTOP#QUALITY'],
37,This is something i would deffinately reccomend to someone.,['LAPTOP#GENERAL'],
38,You will not regret buying such a great thing like this!,['LAPTOP#GENERAL'],
39,It can't get any better.,['LAPTOP#GENERAL'],
40,"Waited on getting this computer, but it has been a great change.",['LAPTOP#GENERAL'],
41,Ease of use is just one of the benefits I love about my Mac.,['LAPTOP#USABILITY'],
42,This laptop meets every expectation and Windows 7 is great!,"['LAPTOP#GENERAL', 'OS#GENERAL']",
43,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY', 'LAPTOP#CONNECTIVITY']",
44,It's even easy to hook up to other wireless networks.,['LAPTOP#CONNECTIVITY'],
45,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,['BATTERY#OPERATION_PERFORMANCE'],
46,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,['BATTERY#OPERATION_PERFORMANCE'],
47,"Most everything is fine with this machine: speed, capacity, build.","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE', 'HARD_DISC#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
48,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",['DISPLAY#QUALITY'],
49,I bought it for really cheap also and it's AMAZING.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
50,Recommended to people as their first laptop.,['LAPTOP#MISCELLANEOUS'],
51,"Plain and simple, it(laptop) runs great and loads fast.",['LAPTOP#OPERATION_PERFORMANCE'],
52,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","['LAPTOP#PORTABILITY', 'LAPTOP#CONNECTIVITY']",
53,I'm already hooked on the sleek look and dependability that this laptop has shown.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
54,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",['OS#USABILITY'],
55,The unibody design is edgy and durable.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
56,The LED backlit display makes my pictures pop so much more.,['DISPLAY#DESIGN_FEATURES'],
57,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"['MOUSE#DESIGN_FEATURES', 'LAPTOP#USABILITY']",
58,A key contributor that led me to Mac is the art aspect.,['LAPTOP#DESIGN_FEATURES'],
59,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,['SOFTWARE#MISCELLANEOUS'],
